0,00:00:066,15.91,118.23,,1,00:00:066,29.39,31.88
0,0.001157407,15.91,118.23,,1,0.001157407,29.39,31.88
0,0.001539352,15.91,118.23,,1,0.001539352,29.39,31.88
0,0.001921296,15.32,118.57,,1,0.001921296,29.31,31.86
0,0.002314815,14.27,119.45,,1,0.002314815,27.93,31.22
0,0.002696759,14,119.69,,1,0.002696759,27.71,31.05
0,0.003078704,10.7,120.36,,1,0.003078704,29.79,32.31
0,0.003472222,9.59,122.38,,1,0.003472222,27.85,31.83
0,0.003854167,11.37,122.57,,1,0.003854167,27.54,31.66
0,0.004236111,11.37,122.57,,1,0.004236111,26.45,31.56
0,0.00462963,11.37,122.57,,1,0.00462963,25.73,31.74
0,0.005011574,11.37,122.57,,1,0.005011574,25.21,31.87
0,0.005393519,11.37,122.57,,1,0.005393519,24.58,31.96
0,0.005787037,11.37,122.57,,1,0.005787037,23.58,32.11
0,0.006168981,11.37,122.57,,1,0.006168981,23.48,32.18
0,0.006550926,11.37,122.57,,1,0.006550926,23.23,32.14
0,0.006944444,11.37,122.57,,1,0.006944444,24.27,31.67
0,0.007326389,11.37,122.57,,1,0.007326389,23.85,31.88
0,0.007708333,11.37,122.57,,1,0.007708333,20.63,33.05
0,0.008101852,11.44,122.13,,1,0.008101852,20.12,33.36
0,0.008483796,11.3,121.81,,1,0.008483796,19.91,33.63
0,0.008865741,13.13,120.61,,1,0.008865741,21.25,33.34
0,0.009259259,10.54,120.16,,1,0.009259259,21.06,33.47
0,0.009641204,10.27,119.76,,1,0.009641204,19.65,34.32
0,0.010023148,8.9,119.02,,1,0.010023148,19.03,35.18
0,0.010416667,8.68,118.21,,1,0.010416667,18.65,36.25
0,0.010798611,8.7,118.07,,1,0.010798611,18.63,36.46
0,0.011180556,8.48,117.48,,1,0.011180556,18.45,37
0,00:01:000,10.29,116.34,,1,00:01:000,18.45,37
0,00:01:033,8.32,116.03,,1,00:01:033,18.01,37.92
0,00:01:066,8.34,115.86,,1,00:01:066,17.92,38.23
0,0.001851852,10.2,115.41,,1,0.001851852,17.72,38.43
0,0.002233796,9.9,114.15,,1,0.002233796,17.54,38.63
0,0.002615741,8.08,113.85,,1,0.002615741,17.2,39.16
0,0.003009259,9.75,113.37,,1,0.003009259,17.13,38.25
0,0.003391204,7.2,111.54,,1,0.003391204,16.73,38.66
