0,00:00:066,15.91,118.23,,1,00:00:066,29.39,31.88,,
0,00:00:100,15.91,118.23,,1,00:00:100,29.39,31.88,,
0,00:00:133,15.91,118.23,,1,00:00:133,29.39,31.88,,
0,00:00:166,15.32,118.57,,1,00:00:166,29.31,31.86,,
0,00:00:200,14.27,119.45,,1,00:00:200,27.93,31.22,,
0,00:00:233,14.00,119.69,,1,00:00:233,27.71,31.05,,
0,00:00:266,10.70,120.36,,1,00:00:266,29.79,32.31,,
0,00:00:300,9.59,122.38,,1,00:00:300,27.85,31.83,,
0,00:00:333,11.37,122.57,,1,00:00:333,27.54,31.66,,
0,00:00:366,11.37,122.57,,1,00:00:366,26.45,31.56,,
0,00:00:400,11.37,122.57,,1,00:00:400,25.73,31.74,,
0,00:00:433,11.37,122.57,,1,00:00:433,25.21,31.87,,
0,00:00:466,11.37,122.57,,1,00:00:466,24.58,31.96,,
0,00:00:500,11.37,122.57,,1,00:00:500,23.58,32.11,,
0,00:00:533,11.37,122.57,,1,00:00:533,23.48,32.18,,
0,00:00:566,11.37,122.57,,1,00:00:566,23.23,32.14,,
0,00:00:600,11.37,122.57,,1,00:00:600,24.27,31.67,,
0,00:00:633,11.37,122.57,,1,00:00:633,23.85,31.88,,
0,00:00:666,11.37,122.57,,1,00:00:666,20.63,33.05,,
0,00:00:700,11.44,122.13,,1,00:00:700,20.12,33.36,,
0,00:00:733,11.30,121.81,,1,00:00:733,19.91,33.63,,
0,00:00:766,13.13,120.61,,1,00:00:766,21.25,33.34,,
0,00:00:800,10.54,120.16,,1,00:00:800,21.06,33.47,,
0,00:00:833,10.27,119.76,,1,00:00:833,19.65,34.32,,
0,00:00:866,8.90,119.02,,1,00:00:866,19.03,35.18,,
0,00:00:900,8.68,118.21,,1,00:00:900,18.65,36.25,,
0,00:00:933,8.70,118.07,,1,00:00:933,18.63,36.46,,
0,00:00:966,8.48,117.48,,1,00:00:966,18.45,37.00,,
0,00:01:000,10.29,116.34,,1,00:01:000,18.45,37.00,,
0,00:01:033,8.32,116.03,,1,00:01:033,18.01,37.92,,
0,00:01:066,8.34,115.86,,1,00:01:066,17.92,38.23,,
0,00:01:100,10.20,115.41,,1,00:01:100,17.72,38.43,,
0,00:01:133,9.90,114.15,,1,00:01:133,17.54,38.63,,
0,00:01:166,8.08,113.85,,1,00:01:166,17.20,39.16,,
0,00:01:200,9.75,113.37,,1,00:01:200,17.13,38.25,,
0,00:01:233,7.20,111.54,,1,00:01:233,16.73,38.66,,
0,00:01:266,6.99,110.89,,1,00:01:266,16.23,39.36,,
0,00:01:300,6.59,110.23,,1,00:01:300,15.37,39.88,,
0,00:01:333,6.52,109.57,,1,00:01:333,15.09,39.95,,
0,00:01:366,6.54,108.11,,1,00:01:366,14.71,40.13,,
0,00:01:400,6.06,107.11,,1,00:01:400,13.90,40.75,,
0,00:01:433,5.74,106.08,,1,00:01:433,13.70,40.93,,
0,00:01:466,5.94,105.04,,1,00:01:466,12.99,41.54,,
0,00:01:500,5.45,104.03,,1,00:01:500,14.17,40.63,,
0,00:01:533,5.42,103.73,,1,00:01:533,12.24,41.91,,
0,00:01:566,5.21,101.93,,1,00:01:566,13.43,41.04,,
0,00:01:600,5.10,101.24,,1,00:01:600,13.13,41.04,,
0,00:01:633,5.25,101.07,,1,00:01:633,10.31,43.02,,
0,00:01:666,5.52,100.70,,1,00:01:666,9.80,43.24,,
